nd2_path,nd2_relpath,filename,stem,num_channels,channel_names,channel_source,stains,metadata_error
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 5 DIV 23 R3C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R3C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R3C2 middle.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 R3C2 middle,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 5 DIV 23 left section top.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 left section top.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 left section top.nd2,6.5 E1P3 Nes + DCX Slide 5 DIV 23 left section top,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section middle left.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section middle left.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section middle left.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section middle left,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section midle right.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section midle right.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section midle right.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section midle right,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section top.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section top.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section top.nd2,6.5 E1P3 Nes + DCX Slide 6 DIV 18 left section top,4,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'DCX']",
/Volumes/MannySSD/rw/6.5 E1P3 Nestin + DCX Slide 2 DIV 23  left section bottom right.nd2,6.5 E1P3 Nestin + DCX Slide 2 DIV 23  left section bottom right.nd2,6.5 E1P3 Nestin + DCX Slide 2 DIV 23  left section bottom right.nd2,6.5 E1P3 Nestin + DCX Slide 2 DIV 23  left section bottom right,5,"['Cy5', 'GFP', 'DAPI']",metadata,"['Cy5', 'GFP', 'DAPI', 'Nestin', 'DCX']",
/Volumes/MannySSD/rw/rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 2_0001.nd2,rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 2_0001.nd2,rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 2_0001.nd2,rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 2_0001,3,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI', 'Ki67']",
/Volumes/MannySSD/rw/rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 6_0001.nd2,rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 6_0001.nd2,rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 6_0001.nd2,rw_test E1P2 DIV 18 ctrl Ki67 and 488 slide 6_0001,3,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI', 'Ki67']",
/Volumes/MannySSD/rw/rw_test E1P2 DIV 18 ctrl Lhx6 and 488 slide 7_0001.nd2,rw_test E1P2 DIV 18 ctrl Lhx6 and 488 slide 7_0001.nd2,rw_test E1P2 DIV 18 ctrl Lhx6 and 488 slide 7_0001.nd2,rw_test E1P2 DIV 18 ctrl Lhx6 and 488 slide 7_0001,2,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI']",
/Volumes/MannySSD/rw/rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 bottom.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 bottom.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 bottom.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 bottom,3,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI', 'Ki67']",
/Volumes/MannySSD/rw/rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 middle_0002.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 middle_0002.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 middle_0002.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1 middle_0002,3,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI', 'Ki67']",
/Volumes/MannySSD/rw/rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1.nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C1,3,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI', 'Ki67']",
/Volumes/MannySSD/rw/rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C2 .nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C2 .nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C2 .nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R1C2 ,3,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI', 'Ki67']",
/Volumes/MannySSD/rw/rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R2C3 .nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R2C3 .nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R2C3 .nd2,rw_test E1P3 DIV 23 ctrl Ki67 and 488 slide 6 R2C3 ,3,"['GFP', 'DAPI']",metadata,"['GFP', 'DAPI', 'Ki67']",
